Species,Country,2014,2013,2012,2011,2010,2009,2008,2007,2006
ANF,BE,993,1633,1716,1279,1031,853,964,1363,1193
ANF,BE,217,137,133,116,131,140,185,181,141
ANF,BE,0,0,0,0,0,0,0,0,0
ANF,BE,213,135,131,111,124,134,181,179,138
ANF,BE,4,2,2,6,7,6,4,3,3
ANF,BE,491,1124,1382,966,721,518,585,1040,907
ANF,BE,26,47,58,27,19,19,29,73,69
ANF,BE,0,0,0,0,0,0,0,1,0
ANF,BE,98,49,59,95,127,56,43,44,21
ANF,BE,42,95,144,138,94,73,101,242,217
ANF,BE,167,422,472,352,235,193,212,369,301
ANF,BE,147,511,636,353,240,178,195,308,293
ANF,BE,11,0,13,1,6,0,6,3,7
ANF,BE,0,0,0,0,0,0,0,0,0
ANF,BE,0,0,0,0,0,0,0,0,0
ANF,BE,285,373,201,196,179,195,194,142,144
ANF,BE,6,4,6,4,7,7,2,8,18
ANF,BE,279,368,196,192,172,188,193,135,127
BIB,BE,448,299,318,405,413,425,578,574,472
BIB,BE,0,0,0,0,0,0,0,0,0
BIB,BE,0,0,0,0,0,0,0,0,0
BIB,BE,11,7,17,21,48,52,37,27,30
BIB,BE,0,0,0,0,0,0,0,0,0
BIB,BE,0,0,0,1,0,0,0,0,0
BIB,BE,11,7,17,21,48,52,37,27,30
BIB,BE,434,288,298,376,357,368,535,537,433
BIB,BE,1,1,1,2,3,2,2,3,4
BIB,BE,353,225,219,314,306,318,446,421,339
BIB,BE,9,36,51,40,29,24,50,60,58
BIB,BE,67,23,24,16,15,21,34,48,24
BIB,BE,3,3,3,3,4,4,2,5,6
BIB,BE,0,0,0,0,0,0,1,0,1
BIB,BE,0,0,0,0,0,0,0,0,0
BIB,BE,0,0,0,0,0,0,0,0,0
BIB,BE,4,5,4,8,8,4,6,10,10
BIB,BE,0,0,0,0,0,0,0,1,1
BIB,BE,3,5,3,8,8,4,6,9,9
BIB,BE,0,0,0,0,0,0,0,0,0
BLL,BE,309,315,317,341,350,336,360,419,390
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,99,101,110,101,104,109,117,110,105
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,68,66,84,67,41,39,38,54,47
BLL,BE,31,36,26,34,63,70,79,56,58
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,209,213,205,238,244,223,240,306,281
BLL,BE,9,15,28,31,37,28,26,32,35
BLL,BE,161,132,104,122,134,118,131,168,157
BLL,BE,5,10,17,19,11,13,23,37,23
BLL,BE,21,28,26,24,24,29,30,37,25
BLL,BE,14,28,31,41,38,34,29,33,41
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,0,0,0,0,0,0,0,0,0
BLL,BE,1,1,3,2,3,4,3,3,4
BLL,BE,0,0,0,0,0,0,0,0,1
BLL,BE,1,1,3,2,2,3,3,3,4
BLL,BE,0,0,0,0,0,0,0,0,0
BRB,BE,22,3,0,0,0,0,0,0,0
BRB,BE,22,3,0,0,0,0,0,0,0
BRB,BE,22,3,0,0,0,0,0,0,0
BRB,BE,0,0,0,0,0,0,0,0,0
BRB,BE,0,0,0,0,0,0,0,0,0
BRB,BE,0,0,0,0,0,0,0,0,0
BRB,BE,0,0,0,0,0,0,0,0,0
BSS,BE,148,146,155,153,216,174,187,179,211
BSS,BE,53,59,55,63,118,90,64,65,116
BSS,BE,0,0,0,0,0,0,1,1,1
BSS,BE,53,59,55,63,118,90,63,64,115
BSS,BE,0,0,0,0,0,0,0,0,0
BSS,BE,0,0,0,0,0,0,0,0,0
BSS,BE,95,87,99,89,98,84,123,113,95
BSS,BE,1,0,1,1,1,1,1,3,2
BSS,BE,59,39,56,47,57,35,54,63,34
BSS,BE,1,4,12,5,2,2,7,6,6
BSS,BE,24,20,9,15,14,20,39,25,20
BSS,BE,9,23,21,21,23,25,23,16,33
BSS,BE,0,0,0,0,0,0,0,0,0
BSS,BE,0,0,1,1,0,1,0,1,0
BSS,BE,0,0,0,0,0,0,0,0,0
BSS,BE,0,0,0,1,0,1,0,1,0
CAA,BE,77,33,37,33,34,52,70,74,67
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,77,33,37,33,34,51,70,74,67
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,77,33,37,33,34,51,70,74,67
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,1,0,0,0
CAA,BE,0,0,0,0,0,1,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAA,BE,0,0,0,0,0,0,0,0,0
CAR,BE,0,0,0,0,0,0,0,0,0
CAR,BE,0,0,0,0,0,0,0,0,0
CAR,BE,0,0,0,0,0,0,0,0,0
CAR,BE,0,0,0,0,0,0,0,0,0
CAR,BE,0,0,0,0,0,0,0,0,0
CAR,BE,0,0,0,0,0,0,0,0,0
CAR,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLU,BE,0,0,0,0,0,0,0,0,0
CLX,BE,2,0,0,0,0,0,0,0,0
CLX,BE,2,0,0,0,0,0,0,0,0
CLX,BE,0,0,0,0,0,0,0,0,0
CLX,BE,2,0,0,0,0,0,0,0,0
CLX,BE,0,0,0,0,0,0,0,0,0
CNZ,BE,0,0,0,0,0,1585,1024,637,866
CNZ,BE,0,0,0,0,0,1584,1024,636,866
CNZ,BE,0,0,0,0,0,41,169,193,64
CNZ,BE,0,0,0,0,0,1544,855,444,803
CNZ,BE,0,0,0,0,0,0,0,0,0
CNZ,BE,0,0,0,0,0,1,0,0,0
CNZ,BE,0,0,0,0,0,1,0,0,0
CNZ,BE,0,0,0,0,0,0,0,0,0
CNZ,BE,0,0,0,0,0,0,0,0,0
CNZ,BE,0,0,0,0,0,0,0,0,0
COC,BE,0,0,0,0,0,0,0,0,0
COC,BE,0,0,0,0,0,0,0,0,0
COC,BE,0,0,0,0,0,0,0,0,0
COC,BE,0,0,0,0,0,0,0,0,0
COD,BE,1480,1343,1214,868,797,1087,1140,1268,1551
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,1258,1075,862,653,666,946,894,1008,1309
COD,BE,0,4,0,0,0,0,0,0,0
COD,BE,1083,970,710,459,337,324,407,775,1034
COD,BE,174,102,152,194,329,622,487,234,275
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,223,267,353,216,131,142,246,259,242
COD,BE,9,13,23,36,21,19,26,67,60
COD,BE,72,53,40,56,57,73,154,84,80
COD,BE,1,5,14,13,5,6,5,5,5
COD,BE,85,96,135,44,17,14,39,65,52
COD,BE,54,101,140,66,30,26,22,37,44
COD,BE,1,0,1,0,1,2,1,1,1
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
