"","Species","Country","year","count"
"1","ANF","BE","X2014",993
"2","ANF","BE","X2014",217
"3","ANF","BE","X2014",0
"4","ANF","BE","X2014",213
"5","ANF","BE","X2014",4
"6","ANF","BE","X2014",491
"7","ANF","BE","X2014",26
"8","ANF","BE","X2014",0
"9","ANF","BE","X2014",98
"10","ANF","BE","X2014",42
"11","ANF","BE","X2014",167
"12","ANF","BE","X2014",147
"13","ANF","BE","X2014",11
"14","ANF","BE","X2014",0
"15","ANF","BE","X2014",0
"16","ANF","BE","X2014",285
"17","ANF","BE","X2014",6
"18","ANF","BE","X2014",279
"19","BIB","BE","X2014",448
"20","BIB","BE","X2014",0
"21","BIB","BE","X2014",0
"22","BIB","BE","X2014",11
"23","BIB","BE","X2014",0
"24","BIB","BE","X2014",0
"25","BIB","BE","X2014",11
"26","BIB","BE","X2014",434
"27","BIB","BE","X2014",1
"28","BIB","BE","X2014",353
"29","BIB","BE","X2014",9
"30","BIB","BE","X2014",67
"31","BIB","BE","X2014",3
"32","BIB","BE","X2014",0
"33","BIB","BE","X2014",0
"34","BIB","BE","X2014",0
"35","BIB","BE","X2014",4
"36","BIB","BE","X2014",0
"37","BIB","BE","X2014",3
"38","BIB","BE","X2014",0
"39","BLL","BE","X2014",309
"40","BLL","BE","X2014",0
"41","BLL","BE","X2014",0
"42","BLL","BE","X2014",99
"43","BLL","BE","X2014",0
"44","BLL","BE","X2014",68
"45","BLL","BE","X2014",31
"46","BLL","BE","X2014",0
"47","BLL","BE","X2014",0
"48","BLL","BE","X2014",0
"49","BLL","BE","X2014",0
"50","BLL","BE","X2014",0
"51","BLL","BE","X2014",209
"52","BLL","BE","X2014",9
"53","BLL","BE","X2014",161
"54","BLL","BE","X2014",5
"55","BLL","BE","X2014",21
"56","BLL","BE","X2014",14
"57","BLL","BE","X2014",0
"58","BLL","BE","X2014",0
"59","BLL","BE","X2014",0
"60","BLL","BE","X2014",1
"61","BLL","BE","X2014",0
"62","BLL","BE","X2014",1
"63","BLL","BE","X2014",0
"64","BRB","BE","X2014",22
"65","BRB","BE","X2014",22
"66","BRB","BE","X2014",22
"67","BRB","BE","X2014",0
"68","BRB","BE","X2014",0
"69","BRB","BE","X2014",0
"70","BRB","BE","X2014",0
"71","BSS","BE","X2014",148
"72","BSS","BE","X2014",53
"73","BSS","BE","X2014",0
"74","BSS","BE","X2014",53
"75","BSS","BE","X2014",0
"76","BSS","BE","X2014",0
"77","BSS","BE","X2014",95
"78","BSS","BE","X2014",1
"79","BSS","BE","X2014",59
"80","BSS","BE","X2014",1
"81","BSS","BE","X2014",24
"82","BSS","BE","X2014",9
"83","BSS","BE","X2014",0
"84","BSS","BE","X2014",0
"85","BSS","BE","X2014",0
"86","BSS","BE","X2014",0
"87","CAA","BE","X2014",77
"88","CAA","BE","X2014",0
"89","CAA","BE","X2014",0
"90","CAA","BE","X2014",0
"91","CAA","BE","X2014",0
"92","CAA","BE","X2014",0
"93","CAA","BE","X2014",0
"94","CAA","BE","X2014",0
"95","CAA","BE","X2014",77
"96","CAA","BE","X2014",0
"97","CAA","BE","X2014",77
"98","CAA","BE","X2014",0
"99","CAA","BE","X2014",0
"100","CAA","BE","X2014",0
"101","CAA","BE","X2014",0
"102","CAA","BE","X2014",0
"103","CAA","BE","X2014",0
"104","CAA","BE","X2014",0
"105","CAA","BE","X2014",0
"106","CAA","BE","X2014",0
"107","CAA","BE","X2014",0
"108","CAA","BE","X2014",0
"109","CAA","BE","X2014",0
"110","CAA","BE","X2014",0
"111","CAR","BE","X2014",0
"112","CAR","BE","X2014",0
"113","CAR","BE","X2014",0
"114","CAR","BE","X2014",0
"115","CAR","BE","X2014",0
"116","CAR","BE","X2014",0
"117","CAR","BE","X2014",0
"118","CLU","BE","X2014",0
"119","CLU","BE","X2014",0
"120","CLU","BE","X2014",0
"121","CLU","BE","X2014",0
"122","CLU","BE","X2014",0
"123","CLU","BE","X2014",0
"124","CLU","BE","X2014",0
"125","CLU","BE","X2014",0
"126","CLU","BE","X2014",0
"127","CLU","BE","X2014",0
"128","CLU","BE","X2014",0
"129","CLX","BE","X2014",2
"130","CLX","BE","X2014",2
"131","CLX","BE","X2014",0
"132","CLX","BE","X2014",2
"133","CLX","BE","X2014",0
"134","CNZ","BE","X2014",0
"135","CNZ","BE","X2014",0
"136","CNZ","BE","X2014",0
"137","CNZ","BE","X2014",0
"138","CNZ","BE","X2014",0
"139","CNZ","BE","X2014",0
"140","CNZ","BE","X2014",0
"141","CNZ","BE","X2014",0
"142","CNZ","BE","X2014",0
"143","CNZ","BE","X2014",0
"144","COC","BE","X2014",0
"145","COC","BE","X2014",0
"146","COC","BE","X2014",0
"147","COC","BE","X2014",0
"148","COD","BE","X2014",1480
"149","COD","BE","X2014",0
"150","COD","BE","X2014",0
"151","COD","BE","X2014",0
"152","COD","BE","X2014",0
"153","COD","BE","X2014",0
"154","COD","BE","X2014",0
"155","COD","BE","X2014",0
"156","COD","BE","X2014",1258
"157","COD","BE","X2014",0
"158","COD","BE","X2014",1083
"159","COD","BE","X2014",174
"160","COD","BE","X2014",0
"161","COD","BE","X2014",0
"162","COD","BE","X2014",0
"163","COD","BE","X2014",0
"164","COD","BE","X2014",0
"165","COD","BE","X2014",0
"166","COD","BE","X2014",0
"167","COD","BE","X2014",0
"168","COD","BE","X2014",0
"169","COD","BE","X2014",0
"170","COD","BE","X2014",223
"171","COD","BE","X2014",9
"172","COD","BE","X2014",72
"173","COD","BE","X2014",1
"174","COD","BE","X2014",85
"175","COD","BE","X2014",54
"176","COD","BE","X2014",1
"177","COD","BE","X2014",0
"178","COD","BE","X2014",0
"179","COD","BE","X2014",0
"180","COD","BE","X2014",0
"181","COD","BE","X2014",0
"182","COD","BE","X2014",0
"183","COD","BE","X2014",0
"184","COE","BE","X2014",40
"185","COE","BE","X2014",1
"186","COE","BE","X2014",0
"187","COE","BE","X2014",0
"188","COE","BE","X2014",0
"189","COE","BE","X2014",0
"190","COE","BE","X2014",0
"191","COE","BE","X2014",0
"192","COE","BE","X2014",0
"193","COE","BE","X2014",0
"194","COE","BE","X2014",39
"195","COE","BE","X2014",2
"196","COE","BE","X2014",16
"197","COE","BE","X2014",3
"198","COE","BE","X2014",11
"199","COE","BE","X2014",7
"200","COE","BE","X2014",0
"201","COE","BE","X2014",0
"202","COE","BE","X2014",0
"203","COE","BE","X2014",1
"204","COE","BE","X2014",0
"205","COE","BE","X2014",1
"206","COE","BE","X2014",0
"207","CRE","BE","X2014",272
"208","CRE","BE","X2014",0
"209","CRE","BE","X2014",0
"210","CRE","BE","X2014",110
"211","CRE","BE","X2014",0
"212","CRE","BE","X2014",94
"213","CRE","BE","X2014",16
"214","CRE","BE","X2014",0
"215","CRE","BE","X2014",0
"216","CRE","BE","X2014",0
"217","CRE","BE","X2014",0
"218","CRE","BE","X2014",0
"219","CRE","BE","X2014",0
"220","CRE","BE","X2014",144
"221","CRE","BE","X2014",4
"222","CRE","BE","X2014",70
"223","CRE","BE","X2014",7
"224","CRE","BE","X2014",26
"225","CRE","BE","X2014",36
"226","CRE","BE","X2014",1
"227","CRE","BE","X2014",0
"228","CRE","BE","X2014",0
"229","CRE","BE","X2014",18
"230","CRE","BE","X2014",1
"231","CRE","BE","X2014",17
